"Day","Transaction ID","Order name","Payment gateway","Credit card type","Credit card tier","Billing country","Gift card ID","Gross payments","Refunded payments","Net payments"
"2026-06-01",8993723973928,"#142492","shopify_payments","master","standard","United States",0,132.29,0,132.29
"2026-06-01",8992703512872,"#142200","paypal",,,"Germany",0,82.52,0,82.52
"2026-06-01",8993344258344,"#142424","shopify_payments","visa","standard","United States",0,70.98,0,70.98
"2026-06-01",8992972833064,"#142307","Afterpay (New)",,,"Australia",0,128.22,0,128.22
"2026-06-01",8994480357672,"#142579","paypal",,,"United Kingdom",0,59.36,0,59.36
"2026-06-01",8992659996968,"#142187","shopify_payments","visa","standard","United States",0,71.13,0,71.13
"2026-06-01",8994463383848,"#142576","shopify_payments","master","standard","Australia",0,67.97,0,67.97
"2026-06-01",8994879406376,"#142629","shopify_payments","visa","standard","United Kingdom",0,64.56,0,64.56
"2026-06-01",8992852377896,"#130311","shopify_payments","visa","standard","Canada",0,0,-30.78,-30.78
"2026-06-01",8995381182760,"#142696","paypal",,,"United Kingdom",0,71.17,0,71.17
"2026-06-01",8993090797864,"#142354","shopify_payments","visa","standard","United States",0,69.63,0,69.63
"2026-06-01",8993830535464,"#142500","shopify_payments","visa","standard","United States",0,69.57,0,69.57
"2026-06-01",8993053507880,"#142335","shopify_payments","visa","standard","Canada",0,69.65,0,69.65
"2026-06-01",8992059261224,"#142026","shopify_payments","visa","standard","United Kingdom",0,71.13,0,71.13
"2026-06-01",8992284115240,"#142083","shopify_payments","visa","standard","United Kingdom",0,102.02,0,102.02
"2026-06-01",8992060473640,"#142027","shopify_payments","visa","standard","United Kingdom",0,59.33,0,59.33
"2026-06-01",8994250064168,"#142549","shopify_payments","master","standard","United Kingdom",0,71.24,0,71.24
"2026-06-01",8994310881576,"#142556","shopify_payments","master","standard","United Kingdom",0,102.19,0,102.19
"2026-06-01",8993317781800,"#142418","shopify_payments","master","standard","United States",0,69.58,0,69.58
"2026-06-01",8992551141672,"#142161","shopify_payments","visa","standard","United Kingdom",0,73,0,73
"2026-06-01",8994088681768,"#142531","shopify_payments","master","standard","United Kingdom",0,64.52,0,64.52
"2026-06-01",8993386496296,"#142436","Afterpay (New)",,,"United States",0,64.29,0,64.29
"2026-06-01",8992843071784,"#142250","shopify_payments","visa","standard","Canada",0,118.61,0,118.61
"2026-06-01",8992947568936,"#142297","shopify_payments","master","standard","United States",0,71.03,0,71.03
"2026-06-01",8992872628520,"#142267","paypal",,,"Canada",0,65.57,0,65.57
"2026-06-01",8995342156072,"#142689","shopify_payments","visa","standard","United States",0,55.75,0,55.75
"2026-06-01",8994396143912,"#142570","paypal",,,"United Kingdom",0,71.16,0,71.16
"2026-06-01",8992298533160,"#142087","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8992405127464,"#142117","shopify_payments","master","standard","United States",0,63.02,0,63.02
"2026-06-01",8994115027240,"#142533","shopify_payments","visa","standard","Australia",0,67.97,0,67.97
"2026-06-01",8992384123176,"#142112","shopify_payments","master","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8993532674344,"#142472","paypal",,,"Australia",0,59.38,0,59.38
"2026-06-01",8992699547944,"#142199","shopify_payments","visa","standard","United Kingdom",0,34.73,0,34.73
"2026-06-01",8992486588712,"#142144","shopify_payments","visa","standard","United States",0,65.39,0,65.39
"2026-06-01",8993282523432,"#142408","shopify_payments","visa","standard","Australia",0,97.97,0,97.97
"2026-06-01",8994044313896,"#142527","paypal",,,"United Kingdom",0,64.42,0,64.42
"2026-06-01",8991992774952,"#142013","Afterpay (New)",,,"United States",0,69.58,0,69.58
"2026-06-01",8993134772520,"#142372","shopify_payments","visa","standard","Canada",0,100.42,0,100.42
"2026-06-01",8993000849704,"#142317","Afterpay (New)",,,"United States",0,70.97,0,70.97
